image1,image2,similar,elapsed
/mnt/d/Projects/workspace/pyimage-similarity/input/taj-mahal.jpg,/mnt/d/Projects/workspace/pyimage-similarity/input/taj-mahal.png,0.0,0.2793
/mnt/d/Projects/workspace/pyimage-similarity/input/taj-mahal.jpg,/mnt/d/Projects/workspace/pyimage-similarity/input/taj-mahal.png,0.0,0.2395
/mnt/d/Projects/workspace/pyimage-similarity/input/taj-mahal.jpg,/mnt/d/Projects/workspace/pyimage-similarity/input/taj-mahal.png,0.0,0.2829
/mnt/d/Projects/workspace/pyimage-similarity/input/taj-mahal.jpg,/mnt/d/Projects/workspace/pyimage-similarity/input/taj-mahal.png,0.0,0.2376
